FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-19,ED,ALT,EUN,2.8017206847388874E-11,0.01
2020-03-19,EX,ALT,EUN,7.478698341231132E-7,0.01
2020-03-19,I0,ALT,EUN,1.476664189623065E-6,0.01
2020-03-19,I1,ALT,EUN,2.4853316725060343E-6,0.01
2020-03-19,I2,ALT,EUN,4.1960891480350854E-7,0.01
2020-03-19,I3,ALT,EUN,3.547553531889724E-8,0.01
2020-03-19,ND,ALT,EUN,1.3761250021889155E-4,0.01
2020-03-19,RE,ALT,EUN,1.4462637247240812E-6,0.01
2020-03-19,SU,ALT,EUN,0.9997934072595881,0.01
2020-03-20,ED,TAM,EUN,4.785413572138804E-11,0.01
2020-03-20,EX,TAM,EUN,6.540109898631477E-7,0.01
2020-03-20,I0,TAM,EUN,1.4532163844426508E-6,0.01
2020-03-20,I1,TAM,EUN,1.8009526031263857E-6,0.01
2020-03-20,I2,TAM,EUN,3.4788732074484456E-7,0.01
2020-03-20,I3,TAM,EUN,3.912304951446263E-8,0.01
2020-03-20,ND,TAM,EUN,2.9297849387570493E-5,0.01
2020-03-20,RE,TAM,EUN,1.3402681370838292E-6,0.01
2020-03-20,SU,TAM,EUN,0.9997443930009182,0.01
2020-03-20,ED,MAD,EUN,1.4434433748640904E-10,0.01
2020-03-20,EX,MAD,EUN,1.972690142191626E-6,0.01
2020-03-20,I0,MAD,EUN,4.383352442449483E-6,0.01
2020-03-20,I1,MAD,EUN,5.4322771602102884E-6,0.01
2020-03-20,I2,MAD,EUN,1.049346188573434E-6,0.01
2020-03-20,I3,MAD,EUN,1.180084112566976E-7,0.01
2020-03-20,ND,MAD,EUN,1.1909378252658122E-4,0.01
2020-03-20,RE,MAD,EUN,4.0427021402244536E-6,0.01
2020-03-20,SU,MAD,EUN,0.9997330209830853,0.01
2020-03-20,ED,ALT,EUN,6.349274216628611E-11,0.01
2020-03-20,EX,ALT,EUN,8.677379839394741E-7,0.01
2020-03-20,I0,ALT,EUN,1.928120699829158E-6,0.01
2020-03-20,I1,ALT,EUN,2.3894986365835175E-6,0.01
2020-03-20,I2,ALT,EUN,4.615759728966712E-7,0.01
2020-03-20,I3,ALT,EUN,5.1908359613567906E-8,0.01
2020-03-20,ND,ALT,EUN,1.720112773542334E-4,0.01
2020-03-20,RE,ALT,EUN,1.7782641122236036E-6,0.01
2020-03-20,SU,ALT,EUN,0.9997425498512412,0.01
2020-03-21,ED,TAM,EUN,8.697718523585066E-11,0.01
2020-03-21,EX,TAM,EUN,7.552495013787977E-7,0.01
2020-03-21,I0,TAM,EUN,1.8155207683554813E-6,0.01
2020-03-21,I1,TAM,EUN,1.7969293531057296E-6,0.01
2020-03-21,I2,TAM,EUN,3.7229820112942764E-7,0.01
2020-03-21,I3,TAM,EUN,5.1775979152483384E-8,0.01
2020-03-21,ND,TAM,EUN,2.9297888654688272E-5,0.01
2020-03-21,RE,TAM,EUN,1.5969110171496215E-6,0.01
2020-03-21,SU,TAM,EUN,0.9996936505317668,0.01
2020-03-21,ED,MAD,EUN,2.6235274874310663E-10,0.01
2020-03-21,EX,MAD,EUN,2.278048296040496E-6,0.01
2020-03-21,I0,MAD,EUN,5.476164765095761E-6,0.01
2020-03-21,I1,MAD,EUN,5.420135604052711E-6,0.01
2020-03-21,I2,MAD,EUN,1.1229774094903567E-6,0.01
2020-03-21,I3,MAD,EUN,1.5617393781026617E-7,0.01
2020-03-21,ND,MAD,EUN,1.3979068102383294E-4,0.01
2020-03-21,RE,MAD,EUN,4.816822212787041E-6,0.01
2020-03-21,SU,MAD,EUN,0.9996807562837401,0.01
2020-03-21,ED,ALT,EUN,1.1540110177985402E-10,0.01
2020-03-21,EX,ALT,EUN,1.0020601489994252E-6,0.01
2020-03-21,I0,ALT,EUN,2.4088237237785354E-6,0.01
2020-03-21,I1,ALT,EUN,2.3841601664570472E-6,0.01
2020-03-21,I2,ALT,EUN,4.939642444372371E-7,0.01
2020-03-21,I3,ALT,EUN,6.869623289497426E-8,0.01
2020-03-21,ND,ALT,EUN,2.064083054031238E-4,0.01
2020-03-21,RE,ALT,EUN,2.118777066331909E-6,0.01
2020-03-21,SU,ALT,EUN,0.9996915606635997,0.01
2020-03-22,ED,TAM,EUN,1.3875316438833406E-10,0.01
2020-03-22,EX,TAM,EUN,8.73853200051416E-7,0.01
2020-03-22,I0,TAM,EUN,2.2063376862326788E-6,0.01
2020-03-22,I1,TAM,EUN,1.8553262041218635E-6,0.01
2020-03-22,I2,TAM,EUN,3.9320620027653343E-7,0.01
2020-03-22,I3,TAM,EUN,6.432598058101462E-8,0.01
2020-03-22,ND,TAM,EUN,2.9297935440918025E-5,0.01
2020-03-22,RE,TAM,EUN,1.8668201045509692E-6,0.01
2020-03-22,SU,TAM,EUN,0.9996427919960402,0.01
2020-03-22,ED,MAD,EUN,4.1852668655337283E-10,0.01
2020-03-22,EX,MAD,EUN,2.635781539760955E-6,0.01
2020-03-22,I0,MAD,EUN,6.654973158288985E-6,0.01
2020-03-22,I1,MAD,EUN,5.5962715793797296E-6,0.01
2020-03-22,I2,MAD,EUN,1.1860425472206957E-6,0.01
2020-03-22,I3,MAD,EUN,1.9402898501113872E-7,0.01
2020-03-22,ND,MAD,EUN,1.604865571458485E-4,0.01
2020-03-22,RE,MAD,EUN,5.630956417374929E-6,0.01
2020-03-22,SU,MAD,EUN,0.9996281364643861,0.01
2020-03-22,ED,ALT,EUN,1.8409733467482828E-10,0.01
2020-03-22,EX,ALT,EUN,1.1594220983698487E-6,0.01
2020-03-22,I0,ALT,EUN,2.9273565740780252E-6,0.01
2020-03-22,I1,ALT,EUN,2.46164033013964E-6,0.01
2020-03-22,I2,ALT,EUN,5.217048878477094E-7,0.01
2020-03-22,I3,ALT,EUN,8.53475403780966E-8,0.01
2020-03-22,ND,ALT,EUN,2.408035784660372E-4,0.01
2020-03-22,RE,ALT,EUN,2.4768914999575916E-6,0.01
2020-03-22,SU,ALT,EUN,0.9996404166634681,0.01
2020-03-23,ED,TAM,EUN,2.0307914496934867E-10,0.01
